data,# of weak models,accuracy,precision_score,recall_score,f1_score,time
data_1,5,0.8311688311688312,0.7037037037037037,0.7916666666666666,0.7450980392156864,0:00:01
data_1,10,0.7987012987012987,0.6111111111111112,0.7674418604651163,0.6804123711340206,0:00:03
data_1,15,0.8181818181818182,0.7037037037037037,0.76,0.7307692307692308,0:00:05
data_1,20,0.8051948051948052,0.6851851851851852,0.74,0.7115384615384615,0:00:07
data_1,25,0.8181818181818182,0.7037037037037037,0.76,0.7307692307692308,0:00:09
data_1,30,0.8246753246753247,0.7037037037037037,0.7755102040816326,0.7378640776699029,0:00:11
data_1,35,0.8181818181818182,0.6851851851851852,0.7708333333333334,0.7254901960784315,0:00:13
data_2,5,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:01
data_2,10,0.748,0.1543859649122807,0.8,0.2588235294117647,0:00:03
data_2,15,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:04
data_2,20,0.748,0.15789473684210525,0.7894736842105263,0.2631578947368421,0:00:06
data_2,25,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:07
data_2,30,0.748,0.15789473684210525,0.7894736842105263,0.2631578947368421,0:00:09
data_2,35,0.748,0.15087719298245614,0.8113207547169812,0.25443786982248523,0:00:11
data_3,5,0.87875,0.16574585635359115,0.410958904109589,0.23622047244094488,0:00:28
data_3,10,0.8925,0.44751381215469616,0.5294117647058824,0.4850299401197605,0:00:56
data_3,15,0.899375,0.47513812154696133,0.5657894736842105,0.5165165165165165,0:01:24
data_3,20,0.895625,0.44751381215469616,0.5472972972972973,0.49240121580547114,0:01:52
data_3,25,0.890625,0.35911602209944754,0.5241935483870968,0.4262295081967213,0:02:21
data_3,30,0.895,0.430939226519337,0.5454545454545454,0.4814814814814815,0:02:49
data_3,35,0.890625,0.35911602209944754,0.5241935483870968,0.4262295081967213,0:03:18
data_4,5,0.9649122807017544,0.9166666666666666,1.0,0.9565217391304348,0:00:21
data_4,10,0.9649122807017544,0.9166666666666666,1.0,0.9565217391304348,0:00:44
data_4,15,0.9736842105263158,0.9375,1.0,0.967741935483871,0:01:06
data_4,20,0.9736842105263158,0.9375,1.0,0.967741935483871,0:01:29
data_4,25,0.9736842105263158,0.9375,1.0,0.967741935483871,0:01:51
data_4,30,0.9649122807017544,0.9166666666666666,1.0,0.9565217391304348,0:02:14
data_4,35,0.9736842105263158,0.9375,1.0,0.967741935483871,0:02:37
