data,max_depth,accuracy,precision_score,recall_score,f1_score,time
data_1,5,0.6688311688311688,0.6111111111111112,0.5238095238095238,0.5641025641025642,0:00:04
data_1,10,0.6753246753246753,0.6481481481481481,0.5303030303030303,0.5833333333333333,0:00:05
data_1,15,0.6883116883116883,0.6481481481481481,0.546875,0.5932203389830508,0:00:05
data_1,20,0.6883116883116883,0.6481481481481481,0.546875,0.5932203389830508,0:00:05
data_1,25,0.6883116883116883,0.6481481481481481,0.546875,0.5932203389830508,0:00:05
data_1,30,0.6883116883116883,0.6481481481481481,0.546875,0.5932203389830508,0:00:05
data_1,35,0.6883116883116883,0.6481481481481481,0.546875,0.5932203389830508,0:00:05
data_2,5,0.648,0.34385964912280703,0.3726235741444867,0.35766423357664234,0:00:30
data_2,10,0.626,0.3157894736842105,0.3345724907063197,0.3249097472924187,0:00:46
data_2,15,0.615,0.34035087719298246,0.3299319727891156,0.3350604490500863,0:00:54
data_2,20,0.624,0.38596491228070173,0.3536977491961415,0.3691275167785235,0:00:56
data_2,25,0.619,0.3649122807017544,0.34210526315789475,0.35314091680814946,0:00:57
data_2,30,0.619,0.3649122807017544,0.34210526315789475,0.35314091680814946,0:00:57
data_2,35,0.619,0.3649122807017544,0.34210526315789475,0.35314091680814946,0:00:56
data_3,5,0.9575,0.7624309392265194,0.8466257668711656,0.8023255813953488,0:01:01
data_3,10,0.946875,0.7403314917127072,0.7790697674418605,0.7592067988668556,0:01:38
data_3,15,0.945625,0.7182320441988951,0.7831325301204819,0.7492795389048991,0:01:58
data_3,20,0.950625,0.7292817679558011,0.8148148148148148,0.7696793002915453,0:02:06
data_3,25,0.9475,0.7513812154696132,0.7771428571428571,0.7640449438202248,0:02:10
data_3,30,0.94875,0.7403314917127072,0.7928994082840237,0.7657142857142857,0:02:08
data_3,35,0.9475,0.7403314917127072,0.783625730994152,0.7613636363636364,0:02:08
data_4,5,0.9473684210526315,0.8958333333333334,0.9772727272727273,0.9347826086956522,0:00:09
data_4,10,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:10
data_4,15,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:11
data_4,20,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:10
data_4,25,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:10
data_4,30,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:10
data_4,35,0.9473684210526315,0.875,1.0,0.9333333333333333,0:00:11
